city,state,long,lat,value
Cocoa Beach,FL,-80.61,28.36,2
Coconut Creek,FL,-80.19,26.29,2
Coconut Grove,FL,-80.235,25.73,2
Cody,WY,-109.05,44.52,1
Coeur D'alene,ID,-116.794,47.71,5
Cohasset,MA,-70.8,42.22,1
Colby,KS,-101.06,39.36,1
Colchester,CT,-72.33,41.57,1
Cold Spring,KY,-84.42,39.01,1
Colfax,CA,-120.95,39.1,1
College Park,MD,-76.935,39,2
College Station,TX,-96.3222222222222,30.6111111111111,9
Collegeville,PA,-75.48,40.16,1
Colleyville,TX,-97.125,32.885,2
Collierville,TN,-89.7033333333333,35.05,3
Collinsville,IL,-90.01,38.68,1
Colma,CA,-122.46,37.67,2
Colonial Heights,VA,-77.39,37.25,1
Colorado Springs,CO,-104.786428571429,38.8885714285714,42
Colton,CA,-117.313333333333,34.0566666666667,3
Columbia,MD,-76.8514285714286,39.2014285714286,7
Columbia,MO,-92.34875,38.9475,8
Columbia,SC,-80.9869230769231,34.0492307692308,13
Columbia,TN,-87.06,35.6,1
Columbia Nw,SC,-81.17,34.07,1
Columbus,GA,-84.9375,32.53,4
Columbus,IN,-85.905,39.2175,4
Columbus,MS,-88.43,33.52,1
Columbus,NE,-97.37,41.44,1
Columbus,OH,-82.9831111111111,40.03,45
